ID,lat,lon,crdsprov.est,age,period,min_ma,max_ma
7,-36.95610046,149.7910747,est,LD,FRAS,382.7,379.2
12,-37.40036721,145.754494,est,LD,FRAS,382.7,379.2
13,-37.077207,146.072598,est,LD,FRAS,382.7,379.2
14,-37.85233198,147.084131,est,LD,FRAS,382.7,379.2
15,-37.17467173,146.6484609,est,LD,FRAS,382.7,379.2
34,48.10338,-66.34886,est,LD,FRAS,379.2,375.7
41,77.11833,-87.49972,est,LD,FRAS,382.7,372.2
43,43.1793,-82.01825,est,LD,FRAS,382.7,358.9
63,73.42223,-23.28724,est,LD,FRAS,382.7,379.2
75,58.24395,27.40493,est,LD,FRAS,382.7,379.2
77,50.82782,1.74618,est,LD,FRAS,379.2,375.7
78,50.99189,7.15007,est,LD,FRAS,382.7,379.2
79,51.14193,9.09455,est,LD,FRAS,375.7,372.2
81,50.695011,8.382579698,est,LD,FRAS,379.2,372.2
82,31.24922585,56.78180435,est,LD,FRAS,382.7,379.2
83,32.99113261,52.08885819,est,LD,FRAS,382.7,379.2
84,30.22192645,56.99647516,est,LD,FRAS,382.7,375.7
87,56.64741949,25.44993723,est,LD,FRAS,382.7,379.2
103,50.87334962,20.57250899,est,LD,FRAS,382.7,372.2
107,50.87334962,20.57250899,est,LD,FRAS,379.2,375.7
108,57.84252317,28.25827917,est,LD,FRAS,382.7,379.2
109,57.83577551,28.26076014,est,LD,FRAS,382.7,379.2
110,57.83577551,28.26076014,est,LD,FRAS,382.7,379.2
113,57.84252317,28.25827917,est,LD,FRAS,382.7,372.2
116,57.66227084,-2.976759529,est,LD,FRAS,382.7,379.2
119,57.6083,-3.28422,est,LD,FRAS,382.7,372.2
152,36.7472096,30.52523033,est,LD,FRAS,382.7,372.2
153,33.40323064,-110.8920219,est,LD,FRAS,382.7,379.2
154,35.25581088,-111.6066581,est,LD,FRAS,382.7,372.2
155,34.75819033,-112.1156842,est,LD,FRAS,382.7,372.2
156,37.51443022,-107.59664,est,LD,FRAS,382.7,372.2
157,39.16608855,-106.3875618,est,LD,FRAS,382.7,372.2
162,42.71819822,-78.96862769,est,LD,FRAS,382.7,379.2
170,9.848700401,-62.99929518,est,LD,FRAS,382.7,372.2
